PERIOD,TYPE,MAIN_STAFF_GROUP,STAFF_GROUP,GRADE,AGE_BAND,HC,FTE
201409 to 201509,Joiners,NHS infrastructure support,Senior managers,Very Senior Manager,All age bands,157,121.5408
201409 to 201509,Joiners,NHS infrastructure support,Senior managers,Very Senior Manager,25 to 34,8,3.92011
201409 to 201509,Joiners,NHS infrastructure support,Senior managers,Very Senior Manager,35 to 44,39,25.17631
201409 to 201509,Joiners,NHS infrastructure support,Senior managers,Very Senior Manager,45 to 54,77,68.5633
201409 to 201509,Joiners,NHS infrastructure support,Senior managers,Very Senior Manager,55 to 64,30,21.68108
201409 to 201509,Joiners,NHS infrastructure support,Senior managers,Very Senior Manager,65 and over,3,2.2
201409 to 201509,Joiners,NHS infrastructure support,Managers,All grades,All age bands,2021,1904.37835
201409 to 201509,Joiners,NHS infrastructure support,Managers,All grades,Under 25,39,38.2
201409 to 201509,Joiners,NHS infrastructure support,Managers,All grades,25 to 34,498,477.43679
201409 to 201509,Joiners,NHS infrastructure support,Managers,All grades,35 to 44,710,663.02868
201409 to 201509,Joiners,NHS infrastructure support,Managers,All grades,45 to 54,587,556.50848
201409 to 201509,Joiners,NHS infrastructure support,Managers,All grades,55 to 64,181,165.3788
201409 to 201509,Joiners,NHS infrastructure support,Managers,All grades,65 and over,6,3.8256
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 2,All age bands,15,13.18
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 2,Under 25,5,4.8
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 2,25 to 34,3,2.50667
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 2,35 to 44,2,1.45333
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 2,45 to 54,3,2.42
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 2,55 to 64,2,2.0
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 3,All age bands,22,19.95999
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 3,Under 25,2,2.0
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 3,25 to 34,10,9.24
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 3,35 to 44,1,0.93333
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 3,45 to 54,7,5.78666
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 3,55 to 64,2,2.0
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 4,All age bands,14,12.6
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 4,Under 25,7,6.4
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 4,25 to 34,2,1.8
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 4,35 to 44,4,3.4
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 4,45 to 54,1,1.0
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 5,All age bands,46,41.0
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 5,Under 25,3,3.0
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 5,25 to 34,23,21.09333
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 5,35 to 44,11,9.20667
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 5,45 to 54,4,4.0
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 5,55 to 64,5,3.7
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 6,All age bands,147,138.50667
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 6,Under 25,4,4.0
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 6,25 to 34,44,41.7
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 6,35 to 44,48,45.23333
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 6,45 to 54,38,34.92001
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 6,55 to 64,13,12.65333
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 7,All age bands,570,534.27334
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 7,Under 25,10,10.0
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 7,25 to 34,160,153.08
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 7,35 to 44,211,194.18668
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 7,45 to 54,136,129.17333
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 7,55 to 64,50,45.63333
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 7,65 and over,3,2.2
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 8a,All age bands,548,520.46867
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 8a,25 to 34,131,125.98666
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 8a,35 to 44,209,197.74866
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 8a,45 to 54,156,149.69335
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 8a,55 to 64,50,45.44
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 8a,65 and over,2,1.6
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 8b,All age bands,310,299.65335
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 8b,25 to 34,65,63.66667
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 8b,35 to 44,119,112.58668
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 8b,45 to 54,105,103.2
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 8b,55 to 64,21,20.2
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 8c,All age bands,154,147.62693
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 8c,25 to 34,26,25.47013
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 8c,35 to 44,58,55.58
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 8c,45 to 54,56,53.3768
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 8c,55 to 64,14,13.2
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 8d,All age bands,91,88.05881
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 8d,25 to 34,24,23.8
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 8d,35 to 44,23,21.70667
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 8d,45 to 54,36,35.30667
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 8d,55 to 64,8,7.24547
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 9,All age bands,18,17.0
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 9,25 to 34,1,1.0
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 9,35 to 44,5,4.4
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 9,45 to 54,11,10.6
201409 to 201509,Joiners,NHS infrastructure support,Managers,Band 9,55 to 64,1,1.0
201409 to 201509,Joiners,NHS infrastructure support,Managers,Non AfC Grade,All age bands,86,72.05059
201409 to 201509,Joiners,NHS infrastructure support,Managers,Non AfC Grade,Under 25,8,8.0
201409 to 201509,Joiners,NHS infrastructure support,Managers,Non AfC Grade,25 to 34,9,8.09333
201409 to 201509,Joiners,NHS infrastructure support,Managers,Non AfC Grade,35 to 44,19,16.59333
201409 to 201509,Joiners,NHS infrastructure support,Managers,Non AfC Grade,45 to 54,34,27.03166
201409 to 201509,Joiners,NHS infrastructure support,Managers,Non AfC Grade,55 to 64,15,12.30667
201409 to 201509,Joiners,NHS infrastructure support,Managers,Non AfC Grade,65 and over,1,0.0256
201409 to 201509,Joiners,NHS infrastructure support,Central functions,All grades,All age bands,12803,11545.29555
201409 to 201509,Joiners,NHS infrastructure support,Central functions,All grades,Under 25,2528,2431.19256
201409 to 201509,Joiners,NHS infrastructure support,Central functions,All grades,25 to 34,4151,3789.27
201409 to 201509,Joiners,NHS infrastructure support,Central functions,All grades,35 to 44,2715,2347.24793
201409 to 201509,Joiners,NHS infrastructure support,Central functions,All grades,45 to 54,2320,2067.98026
201409 to 201509,Joiners,NHS infrastructure support,Central functions,All grades,55 to 64,1024,863.73412
201409 to 201509,Joiners,NHS infrastructure support,Central functions,All grades,65 and over,65,45.87068
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 1,All age bands,207,195.22449
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 1,Under 25,157,152.51997
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 1,25 to 34,27,24.81332
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 1,35 to 44,13,9.4312
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 1,45 to 54,8,6.92667
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 1,55 to 64,2,1.53333
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 2,All age bands,2470,2088.58125
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 2,Under 25,789,737.3013
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 2,25 to 34,637,535.42956
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 2,35 to 44,344,259.0192
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 2,45 to 54,435,353.30526
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 2,55 to 64,244,189.43926
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 2,65 and over,21,14.08667
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 3,All age bands,2877,2555.96336
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 3,Under 25,672,643.48596
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 3,25 to 34,975,874.48238
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 3,35 to 44,489,401.90871
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 3,45 to 54,495,427.20526
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 3,55 to 64,231,198.61438
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 3,65 and over,15,10.26667
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 4,All age bands,2334,2146.57116
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 4,Under 25,438,426.53704
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 4,25 to 34,844,787.90002
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 4,35 to 44,472,414.36556
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 4,45 to 54,397,359.90188
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 4,55 to 64,173,149.87999
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 4,65 and over,10,7.98667
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 5,All age bands,1909,1771.06534
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 5,Under 25,237,234.13334
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 5,25 to 34,748,700.64404
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 5,35 to 44,461,409.14449
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 5,45 to 54,328,307.31681
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 5,55 to 64,127,114.70666
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 5,65 and over,8,5.12
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 6,All age bands,1308,1212.43108
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 6,Under 25,54,51.56667
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 6,25 to 34,493,462.39333
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 6,35 to 44,394,358.27332
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 6,45 to 54,267,253.9844
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 6,55 to 64,98,85.41336
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 6,65 and over,2,0.8
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 7,All age bands,907,838.26349
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 7,Under 25,16,16.0
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 7,25 to 34,276,260.49333
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 7,35 to 44,321,292.55948
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 7,45 to 54,220,205.70667
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 7,55 to 64,68,58.09334
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 7,65 and over,6,5.41067
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 8a,All age bands,285,271.52452
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 8a,Under 25,1,1.0
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 8a,25 to 34,74,72.31333
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 8a,35 to 44,105,98.61999
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 8a,45 to 54,79,76.1912
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 8a,55 to 64,25,22.4
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 8a,65 and over,1,1.0
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 8b,All age bands,104,98.17999
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 8b,25 to 34,17,15.8
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 8b,35 to 44,45,42.58666
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 8b,45 to 54,31,30.39333
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 8b,55 to 64,11,9.4
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 8c,All age bands,33,30.84
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 8c,25 to 34,5,5.0
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 8c,35 to 44,17,15.64
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 8c,45 to 54,5,5.0
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 8c,55 to 64,6,5.2
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 8d,All age bands,15,14.09334
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 8d,35 to 44,5,4.34667
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 8d,45 to 54,9,8.74667
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 8d,55 to 64,1,1.0
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 9,All age bands,2,2.0
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Band 9,35 to 44,2,2.0
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Non AfC Grade,All age bands,377,320.55753
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Non AfC Grade,Under 25,170,168.64828
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Non AfC Grade,25 to 34,57,50.00069
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Non AfC Grade,35 to 44,55,39.35265
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Non AfC Grade,45 to 54,53,33.30211
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Non AfC Grade,55 to 64,40,28.0538
201409 to 201509,Joiners,NHS infrastructure support,Central functions,Non AfC Grade,65 and over,2,1.2
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",All grades,All age bands,7316,5350.00512
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",All grades,Under 25,1160,773.15286
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",All grades,25 to 34,1874,1354.21366
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",All grades,35 to 44,1506,1117.87225
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",All grades,45 to 54,1716,1310.85484
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",All grades,55 to 64,959,729.55607
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",All grades,65 and over,101,64.35544
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 1,All age bands,4189,2632.06002
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 1,Under 25,742,412.10782
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 1,25 to 34,1103,683.58285
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 1,35 to 44,867,561.85851
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 1,45 to 54,943,632.94385
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 1,55 to 64,481,310.3803
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 1,65 and over,53,31.18669
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 2,All age bands,1883,1552.88791
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 2,Under 25,297,241.70337
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 2,25 to 34,474,390.19664
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 2,35 to 44,380,315.63284
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 2,45 to 54,448,374.5506
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 2,55 to 64,256,212.11328
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 2,65 and over,28,18.69118
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 3,All age bands,466,424.5288
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 3,Under 25,56,53.57334
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 3,25 to 34,130,117.15333
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 3,35 to 44,106,93.5288
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 3,45 to 54,107,99.28666
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 3,55 to 64,62,56.93333
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 3,65 and over,5,4.05334
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 4,All age bands,374,364.72
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 4,Under 25,37,37.0
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 4,25 to 34,90,89.2
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 4,35 to 44,64,62.54
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 4,45 to 54,96,94.74
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 4,55 to 64,80,76.2
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 4,65 and over,7,5.04
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 5,All age bands,146,141.74667
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 5,Under 25,14,14.0
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 5,25 to 34,31,30.73333
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 5,35 to 44,37,35.98667
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 5,45 to 54,39,37.6
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 5,55 to 64,23,21.62667
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 5,65 and over,2,1.8
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 6,All age bands,69,67.91413
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 6,25 to 34,16,15.53333
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 6,35 to 44,17,16.9808
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 6,45 to 54,20,20.0
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 6,55 to 64,14,13.8
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 6,65 and over,2,1.6
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 7,All age bands,51,49.4
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 7,25 to 34,11,10.2
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 7,35 to 44,13,12.4
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 7,45 to 54,10,10.0
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 7,55 to 64,16,15.8
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 7,65 and over,1,1.0
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 8a,All age bands,10,10.0
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 8a,25 to 34,3,3.0
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 8a,35 to 44,1,1.0
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 8a,45 to 54,2,2.0
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 8a,55 to 64,4,4.0
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 8b,All age bands,5,5.0
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 8b,45 to 54,3,3.0
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 8b,55 to 64,2,2.0
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Non AfC Grade,All age bands,131,101.74759
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Non AfC Grade,Under 25,17,14.76833
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Non AfC Grade,25 to 34,18,14.61418
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Non AfC Grade,35 to 44,23,17.94463
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Non AfC Grade,45 to 54,48,36.73373
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Non AfC Grade,55 to 64,22,16.70249
201409 to 201509,Joiners,NHS infrastructure support,"Hotel, property & estates",Non AfC Grade,65 and over,3,0.98423
201409 to 201509,Joiners,Unknown classification,Unknown classification,All grades,All age bands,2384,2330.05473
201409 to 201509,Joiners,Unknown classification,Unknown classification,All grades,Under 25,1717,1703.82457
201409 to 201509,Joiners,Unknown classification,Unknown classification,All grades,25 to 34,420,404.71116
201409 to 201509,Joiners,Unknown classification,Unknown classification,All grades,35 to 44,151,136.15449
201409 to 201509,Joiners,Unknown classification,Unknown classification,All grades,45 to 54,81,74.03875
201409 to 201509,Joiners,Unknown classification,Unknown classification,All grades,55 to 64,14,10.92576
201409 to 201509,Joiners,Unknown classification,Unknown classification,All grades,65 and over,1,0.4
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 2,All age bands,218,210.44666
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 2,Under 25,87,85.11333
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 2,25 to 34,66,63.81333
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 2,35 to 44,44,41.42
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 2,45 to 54,20,19.5
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 2,55 to 64,1,0.6
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 3,All age bands,574,542.65665
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 3,Under 25,208,204.15333
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 3,25 to 34,238,227.68667
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 3,35 to 44,82,71.93665
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 3,45 to 54,37,31.98667
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 3,55 to 64,8,6.49333
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 3,65 and over,1,0.4
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 4,All age bands,11,10.8
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 4,Under 25,3,3.0
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 4,25 to 34,4,4.0
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 4,35 to 44,1,0.8
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 4,45 to 54,3,3.0
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 5,All age bands,4,3.58667
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 5,Under 25,2,2.0
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 5,35 to 44,1,1.0
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 5,45 to 54,1,0.58667
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 6,All age bands,8,7.2
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 6,Under 25,2,2.0
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 6,25 to 34,3,2.8
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 6,35 to 44,2,2.0
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 6,55 to 64,1,0.4
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 7,All age bands,2,1.2
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 7,25 to 34,1,0.2
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 7,45 to 54,1,1.0
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 8b,All age bands,1,0.7
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 8b,25 to 34,1,0.7
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 8d,All age bands,1,1.0
201409 to 201509,Joiners,Unknown classification,Unknown classification,Band 8d,25 to 34,1,1.0
201409 to 201509,Joiners,Unknown classification,Unknown classification,Non AfC Grade,All age bands,1566,1552.46475
201409 to 201509,Joiners,Unknown classification,Unknown classification,Non AfC Grade,Under 25,1416,1407.55791
201409 to 201509,Joiners,Unknown classification,Unknown classification,Non AfC Grade,25 to 34,106,104.51116
201409 to 201509,Joiners,Unknown classification,Unknown classification,Non AfC Grade,35 to 44,21,18.99784
201409 to 201509,Joiners,Unknown classification,Unknown classification,Non AfC Grade,45 to 54,19,17.96541
201409 to 201509,Joiners,Unknown classification,Unknown classification,Non AfC Grade,55 to 64,4,3.43243
201409 to 201509,Leavers,All staff groups,All staff groups,All grades,All age bands,129642,110053.45277
201409 to 201509,Leavers,All staff groups,All staff groups,All grades,Under 25,11252,10347.68627
201409 to 201509,Leavers,All staff groups,All staff groups,All grades,25 to 34,42310,38080.38983
201409 to 201509,Leavers,All staff groups,All staff groups,All grades,35 to 44,26349,22098.04751
201409 to 201509,Leavers,All staff groups,All staff groups,All grades,45 to 54,21168,17777.42378
201409 to 201509,Leavers,All staff groups,All staff groups,All grades,55 to 64,24144,18952.75272
201409 to 201509,Leavers,All staff groups,All staff groups,All grades,65 and over,4419,2797.15266
201409 to 201509,Leavers,Professionally qualified clinical staff,All staff groups,All grades,All age bands,70140,61113.18604
201409 to 201509,Leavers,Professionally qualified clinical staff,All staff groups,All grades,Under 25,3654,3602.58888
201409 to 201509,Leavers,Professionally qualified clinical staff,All staff groups,All grades,25 to 34,27074,25109.07983
201409 to 201509,Leavers,Professionally qualified clinical staff,All staff groups,All grades,35 to 44,16374,13937.69938
201409 to 201509,Leavers,Professionally qualified clinical staff,All staff groups,All grades,45 to 54,11005,9340.16899
201409 to 201509,Leavers,Professionally qualified clinical staff,All staff groups,All grades,55 to 64,10593,8238.69951
