PERIOD,TYPE,MAIN_STAFF_GROUP,STAFF_GROUP,GRADE,AGE_BAND,HC,FTE
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,25 to 34,4655,4615.89641
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,35 to 44,356,340.81751
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,45 to 54,50,48.52273
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,55 to 64,8,8.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,All age bands,6147,6121.99943
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,Under 25,3249,3247.55
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,25 to 34,2633,2614.84976
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,35 to 44,227,221.99967
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,45 to 54,35,34.6
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,55 to 64,3,3.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,Hospital Practitioner / Clinical Assistant,All age bands,3230,973.12479
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,Hospital Practitioner / Clinical Assistant,25 to 34,222,100.52021
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,Hospital Practitioner / Clinical Assistant,35 to 44,801,268.85282
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,Hospital Practitioner / Clinical Assistant,45 to 54,1295,351.68478
