PERIOD,TYPE,NHSE_REGION_CODE,NHSE_REGION_NAME,MAIN_STAFF_GROUP,STAFF_GROUP,HC,FTE
201709 to 201809,Denominator at start of period,Y56,London,All staff groups,All staff groups,189711,175667.01958
201709 to 201809,Denominator at start of period,Y56,London,Professionally qualified clinical staff,All staff groups,113857,105463.86649
201709 to 201809,Denominator at start of period,Y56,London,Professionally qualified clinical staff,HCHS doctors - All grades,24615,23173.87985
201709 to 201809,Denominator at start of period,Y56,London,Professionally qualified clinical staff,HCHS doctors - Consultant,10165,9396.18064
201709 to 201809,Denominator at start of period,Y56,London,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,396,344.11401
201709 to 201809,Denominator at start of period,Y56,London,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,1217,998.44154
201709 to 201809,Denominator at start of period,Y56,London,Professionally qualified clinical staff,HCHS doctors - Staff Grade,71,61.304
201709 to 201809,Denominator at start of period,Y56,London,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,8120,7859.73128
201709 to 201809,Denominator at start of period,Y56,London,Professionally qualified clinical staff,HCHS doctors - Core Training,2210,2173.48675
201709 to 201809,Denominator at start of period,Y56,London,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,1187,1174.54125
201709 to 201809,Denominator at start of period,Y56,London,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,1032,1024.32167
201709 to 201809,Denominator at start of period,Y56,London,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,136,41.82658
201709 to 201809,Denominator at start of period,Y56,London,Professionally qualified clinical staff,HCHS doctors - Other HCHS Doctor Grades,154,99.93213
201709 to 201809,Denominator at start of period,Y56,London,Professionally qualified clinical staff,Nurses & health visitors,53845,50398.43369
201709 to 201809,Denominator at start of period,Y56,London,Professionally qualified clinical staff,Midwives,4748,4122.50669
201709 to 201809,Denominator at start of period,Y56,London,Professionally qualified clinical staff,Ambulance staff,3209,3076.81202
201709 to 201809,Denominator at start of period,Y56,London,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",27488,24692.23424
201709 to 201809,Denominator at start of period,Y56,London,Support to clinical staff,All staff groups,49653,45322.88022
201709 to 201809,Denominator at start of period,Y56,London,Support to clinical staff,"Support to doctors, nurses & midwives",39573,36169.16569
201709 to 201809,Denominator at start of period,Y56,London,Support to clinical staff,Support to ambulance staff,1223,1170.79208
201709 to 201809,Denominator at start of period,Y56,London,Support to clinical staff,Support to ST&T staff,8884,7982.92245
201709 to 201809,Denominator at start of period,Y56,London,NHS infrastructure support,All staff groups,25864,24350.75421
201709 to 201809,Denominator at start of period,Y56,London,NHS infrastructure support,Senior managers,1769,1708.26644
201709 to 201809,Denominator at start of period,Y56,London,NHS infrastructure support,Managers,4750,4594.89635
201709 to 201809,Denominator at start of period,Y56,London,NHS infrastructure support,Central functions,14447,13575.93916
201709 to 201809,Denominator at start of period,Y56,London,NHS infrastructure support,"Hotel, property & estates",4912,4471.65226
201709 to 201809,Denominator at start of period,Y56,London,Unknown classification,Unknown classification,552,529.51866
201709 to 201809,Denominator at start of period,Y58,South West,All staff groups,All staff groups,117019,100363.90091
201709 to 201809,Denominator at start of period,Y58,South West,Professionally qualified clinical staff,All staff groups,60415,52361.19141
201709 to 201809,Denominator at start of period,Y58,South West,Professionally qualified clinical staff,HCHS doctors - All grades,10910,10022.53858
201709 to 201809,Denominator at start of period,Y58,South West,Professionally qualified clinical staff,HCHS doctors - Consultant,4590,4311.79096
201709 to 201809,Denominator at start of period,Y58,South West,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,271,235.36039
201709 to 201809,Denominator at start of period,Y58,South West,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,817,621.90716
201709 to 201809,Denominator at start of period,Y58,South West,Professionally qualified clinical staff,HCHS doctors - Staff Grade,19,12.80742
201709 to 201809,Denominator at start of period,Y58,South West,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,2757,2586.07384
201709 to 201809,Denominator at start of period,Y58,South West,Professionally qualified clinical staff,HCHS doctors - Core Training,908,893.01875
201709 to 201809,Denominator at start of period,Y58,South West,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,617,613.80625
201709 to 201809,Denominator at start of period,Y58,South West,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,605,600.96875
201709 to 201809,Denominator at start of period,Y58,South West,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,235,65.84258
201709 to 201809,Denominator at start of period,Y58,South West,Professionally qualified clinical staff,HCHS doctors - Other HCHS Doctor Grades,123,80.96248
201709 to 201809,Denominator at start of period,Y58,South West,Professionally qualified clinical staff,Nurses & health visitors,29788,25606.41077
201709 to 201809,Denominator at start of period,Y58,South West,Professionally qualified clinical staff,Midwives,2402,1918.76158
201709 to 201809,Denominator at start of period,Y58,South West,Professionally qualified clinical staff,Ambulance staff,2138,1952.1207
201709 to 201809,Denominator at start of period,Y58,South West,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",15221,12861.35978
201709 to 201809,Denominator at start of period,Y58,South West,Support to clinical staff,All staff groups,37728,31446.22469
201709 to 201809,Denominator at start of period,Y58,South West,Support to clinical staff,"Support to doctors, nurses & midwives",29160,24209.87714
201709 to 201809,Denominator at start of period,Y58,South West,Support to clinical staff,Support to ambulance staff,1638,1415.51993
201709 to 201809,Denominator at start of period,Y58,South West,Support to clinical staff,Support to ST&T staff,7009,5820.82762
201709 to 201809,Denominator at start of period,Y58,South West,NHS infrastructure support,All staff groups,18629,16110.93046
201709 to 201809,Denominator at start of period,Y58,South West,NHS infrastructure support,Senior managers,832,794.39537
201709 to 201809,Denominator at start of period,Y58,South West,NHS infrastructure support,Managers,2075,1950.41825
201709 to 201809,Denominator at start of period,Y58,South West,NHS infrastructure support,Central functions,8927,7927.5562
201709 to 201809,Denominator at start of period,Y58,South West,NHS infrastructure support,"Hotel, property & estates",6814,5438.56064
201709 to 201809,Denominator at start of period,Y58,South West,Unknown classification,Unknown classification,480,445.55435
201709 to 201809,Denominator at start of period,Y59,South East,All staff groups,All staff groups,159908,140385.27861
201709 to 201809,Denominator at start of period,Y59,South East,Professionally qualified clinical staff,All staff groups,84716,75091.64434
201709 to 201809,Denominator at start of period,Y59,South East,Professionally qualified clinical staff,HCHS doctors - All grades,16202,15117.13275
201709 to 201809,Denominator at start of period,Y59,South East,Professionally qualified clinical staff,HCHS doctors - Consultant,6656,6257.49563
201709 to 201809,Denominator at start of period,Y59,South East,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,363,321.87543
201709 to 201809,Denominator at start of period,Y59,South East,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,1200,1019.04219
201709 to 201809,Denominator at start of period,Y59,South East,Professionally qualified clinical staff,HCHS doctors - Staff Grade,31,25.2375
201709 to 201809,Denominator at start of period,Y59,South East,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,4538,4331.40241
201709 to 201809,Denominator at start of period,Y59,South East,Professionally qualified clinical staff,HCHS doctors - Core Training,1183,1156.20875
201709 to 201809,Denominator at start of period,Y59,South East,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,901,899.1375
201709 to 201809,Denominator at start of period,Y59,South East,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,882,878.675
201709 to 201809,Denominator at start of period,Y59,South East,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,277,88.86041
201709 to 201809,Denominator at start of period,Y59,South East,Professionally qualified clinical staff,HCHS doctors - Other HCHS Doctor Grades,212,139.19793
201709 to 201809,Denominator at start of period,Y59,South East,Professionally qualified clinical staff,Nurses & health visitors,41137,36438.93513
201709 to 201809,Denominator at start of period,Y59,South East,Professionally qualified clinical staff,Midwives,3544,2836.59922
201709 to 201809,Denominator at start of period,Y59,South East,Professionally qualified clinical staff,Ambulance staff,2934,2704.83093
201709 to 201809,Denominator at start of period,Y59,South East,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",20946,17994.14631
201709 to 201809,Denominator at start of period,Y59,South East,Support to clinical staff,All staff groups,50905,43598.7084
201709 to 201809,Denominator at start of period,Y59,South East,Support to clinical staff,"Support to doctors, nurses & midwives",38900,33109.88183
201709 to 201809,Denominator at start of period,Y59,South East,Support to clinical staff,Support to ambulance staff,3211,2933.18661
201709 to 201809,Denominator at start of period,Y59,South East,Support to clinical staff,Support to ST&T staff,8851,7555.63996
201709 to 201809,Denominator at start of period,Y59,South East,NHS infrastructure support,All staff groups,24091,21289.20337
201709 to 201809,Denominator at start of period,Y59,South East,NHS infrastructure support,Senior managers,1466,1356.54347
201709 to 201809,Denominator at start of period,Y59,South East,NHS infrastructure support,Managers,3087,2927.4418
201709 to 201809,Denominator at start of period,Y59,South East,NHS infrastructure support,Central functions,11050,9860.0056
201709 to 201809,Denominator at start of period,Y59,South East,NHS infrastructure support,"Hotel, property & estates",8507,7145.2125
201709 to 201809,Denominator at start of period,Y59,South East,Unknown classification,Unknown classification,445,405.7225
201709 to 201809,Denominator at start of period,Y60,Midlands,All staff groups,All staff groups,221187,193099.50108
201709 to 201809,Denominator at start of period,Y60,Midlands,Professionally qualified clinical staff,All staff groups,115343,102571.53245
201709 to 201809,Denominator at start of period,Y60,Midlands,Professionally qualified clinical staff,HCHS doctors - All grades,19109,18023.96887
201709 to 201809,Denominator at start of period,Y60,Midlands,Professionally qualified clinical staff,HCHS doctors - Consultant,8018,7617.35236
201709 to 201809,Denominator at start of period,Y60,Midlands,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,420,380.48335
201709 to 201809,Denominator at start of period,Y60,Midlands,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,1362,1201.40422
201709 to 201809,Denominator at start of period,Y60,Midlands,Professionally qualified clinical staff,HCHS doctors - Staff Grade,62,49.571
201709 to 201809,Denominator at start of period,Y60,Midlands,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,5101,4909.30837
201709 to 201809,Denominator at start of period,Y60,Midlands,Professionally qualified clinical staff,HCHS doctors - Core Training,1514,1483.7
201709 to 201809,Denominator at start of period,Y60,Midlands,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,1136,1124.3835
201709 to 201809,Denominator at start of period,Y60,Midlands,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,1045,1039.1775
201709 to 201809,Denominator at start of period,Y60,Midlands,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,246,57.41602
201709 to 201809,Denominator at start of period,Y60,Midlands,Professionally qualified clinical staff,HCHS doctors - Other HCHS Doctor Grades,243,161.17255
201709 to 201809,Denominator at start of period,Y60,Midlands,Professionally qualified clinical staff,Nurses & health visitors,59168,52234.45644
201709 to 201809,Denominator at start of period,Y60,Midlands,Professionally qualified clinical staff,Midwives,4732,3873.97752
201709 to 201809,Denominator at start of period,Y60,Midlands,Professionally qualified clinical staff,Ambulance staff,4783,4557.81014
201709 to 201809,Denominator at start of period,Y60,Midlands,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",27603,23881.31948
201709 to 201809,Denominator at start of period,Y60,Midlands,Support to clinical staff,All staff groups,70057,59520.92679
201709 to 201809,Denominator at start of period,Y60,Midlands,Support to clinical staff,"Support to doctors, nurses & midwives",54965,46497.28404
201709 to 201809,Denominator at start of period,Y60,Midlands,Support to clinical staff,Support to ambulance staff,2792,2620.25647
201709 to 201809,Denominator at start of period,Y60,Midlands,Support to clinical staff,Support to ST&T staff,12389,10403.38628
201709 to 201809,Denominator at start of period,Y60,Midlands,NHS infrastructure support,All staff groups,34866,29892.19751
201709 to 201809,Denominator at start of period,Y60,Midlands,NHS infrastructure support,Senior managers,2129,2062.62899
201709 to 201809,Denominator at start of period,Y60,Midlands,NHS infrastructure support,Managers,4150,3952.00711
201709 to 201809,Denominator at start of period,Y60,Midlands,NHS infrastructure support,Central functions,14985,13511.58178
201709 to 201809,Denominator at start of period,Y60,Midlands,NHS infrastructure support,"Hotel, property & estates",13627,10365.97963
201709 to 201809,Denominator at start of period,Y60,Midlands,Unknown classification,Unknown classification,1189,1114.84433
201709 to 201809,Denominator at start of period,Y61,East of England,All staff groups,All staff groups,111207,97944.75857
201709 to 201809,Denominator at start of period,Y61,East of England,Professionally qualified clinical staff,All staff groups,58741,52407.58472
201709 to 201809,Denominator at start of period,Y61,East of England,Professionally qualified clinical staff,HCHS doctors - All grades,11124,10550.44111
201709 to 201809,Denominator at start of period,Y61,East of England,Professionally qualified clinical staff,HCHS doctors - Consultant,4658,4401.1341
201709 to 201809,Denominator at start of period,Y61,East of England,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,215,187.16202
201709 to 201809,Denominator at start of period,Y61,East of England,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,894,816.66947
201709 to 201809,Denominator at start of period,Y61,East of England,Professionally qualified clinical staff,HCHS doctors - Staff Grade,60,53.26454
201709 to 201809,Denominator at start of period,Y61,East of England,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,2777,2682.5225
201709 to 201809,Denominator at start of period,Y61,East of England,Professionally qualified clinical staff,HCHS doctors - Core Training,942,926.9125
201709 to 201809,Denominator at start of period,Y61,East of England,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,723,717.57775
201709 to 201809,Denominator at start of period,Y61,East of England,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,660,658.087
201709 to 201809,Denominator at start of period,Y61,East of England,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,130,30.74561
201709 to 201809,Denominator at start of period,Y61,East of England,Professionally qualified clinical staff,HCHS doctors - Other HCHS Doctor Grades,100,76.36562
201709 to 201809,Denominator at start of period,Y61,East of England,Professionally qualified clinical staff,Nurses & health visitors,29225,25862.29228
201709 to 201809,Denominator at start of period,Y61,East of England,Professionally qualified clinical staff,Midwives,2704,2208.87775
201709 to 201809,Denominator at start of period,Y61,East of England,Professionally qualified clinical staff,Ambulance staff,2220,2099.08278
201709 to 201809,Denominator at start of period,Y61,East of England,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",13502,11686.8908
201709 to 201809,Denominator at start of period,Y61,East of England,Support to clinical staff,All staff groups,34019,29171.19926
201709 to 201809,Denominator at start of period,Y61,East of England,Support to clinical staff,"Support to doctors, nurses & midwives",25791,21928.27574
201709 to 201809,Denominator at start of period,Y61,East of England,Support to clinical staff,Support to ambulance staff,1849,1755.66694
201709 to 201809,Denominator at start of period,Y61,East of England,Support to clinical staff,Support to ST&T staff,6422,5487.25658
201709 to 201809,Denominator at start of period,Y61,East of England,NHS infrastructure support,All staff groups,17916,15739.33019
201709 to 201809,Denominator at start of period,Y61,East of England,NHS infrastructure support,Senior managers,1178,1097.29744
201709 to 201809,Denominator at start of period,Y61,East of England,NHS infrastructure support,Managers,2304,2204.86823
201709 to 201809,Denominator at start of period,Y61,East of England,NHS infrastructure support,Central functions,9047,8067.20323
201709 to 201809,Denominator at start of period,Y61,East of England,NHS infrastructure support,"Hotel, property & estates",5396,4369.96129
201709 to 201809,Denominator at start of period,Y61,East of England,Unknown classification,Unknown classification,654,626.6444
201709 to 201809,Denominator at start of period,Y62,North West,All staff groups,All staff groups,182108,160716.95353
201709 to 201809,Denominator at start of period,Y62,North West,Professionally qualified clinical staff,All staff groups,94452,84843.65316
201709 to 201809,Denominator at start of period,Y62,North West,Professionally qualified clinical staff,HCHS doctors - All grades,15700,14739.55967
201709 to 201809,Denominator at start of period,Y62,North West,Professionally qualified clinical staff,HCHS doctors - Consultant,6625,6287.08792
201709 to 201809,Denominator at start of period,Y62,North West,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,338,312.53943
201709 to 201809,Denominator at start of period,Y62,North West,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,1023,896.13954
201709 to 201809,Denominator at start of period,Y62,North West,Professionally qualified clinical staff,HCHS doctors - Staff Grade,41,28.51333
201709 to 201809,Denominator at start of period,Y62,North West,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,3862,3714.30034
201709 to 201809,Denominator at start of period,Y62,North West,Professionally qualified clinical staff,HCHS doctors - Core Training,1546,1516.198
201709 to 201809,Denominator at start of period,Y62,North West,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,898,895.5775
201709 to 201809,Denominator at start of period,Y62,North West,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,845,842.94375
201709 to 201809,Denominator at start of period,Y62,North West,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,294,82.12953
201709 to 201809,Denominator at start of period,Y62,North West,Professionally qualified clinical staff,HCHS doctors - Other HCHS Doctor Grades,281,164.13033
201709 to 201809,Denominator at start of period,Y62,North West,Professionally qualified clinical staff,Nurses & health visitors,48971,43850.04868
201709 to 201809,Denominator at start of period,Y62,North West,Professionally qualified clinical staff,Midwives,3477,2867.57602
201709 to 201809,Denominator at start of period,Y62,North West,Professionally qualified clinical staff,Ambulance staff,3353,3237.93366
201709 to 201809,Denominator at start of period,Y62,North West,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",23007,20148.53513
201709 to 201809,Denominator at start of period,Y62,North West,Support to clinical staff,All staff groups,56135,48150.70158
201709 to 201809,Denominator at start of period,Y62,North West,Support to clinical staff,"Support to doctors, nurses & midwives",43953,37681.22446
201709 to 201809,Denominator at start of period,Y62,North West,Support to clinical staff,Support to ambulance staff,1977,1747.34026
201709 to 201809,Denominator at start of period,Y62,North West,Support to clinical staff,Support to ST&T staff,10269,8722.13686
201709 to 201809,Denominator at start of period,Y62,North West,NHS infrastructure support,All staff groups,31203,27194.04087
201709 to 201809,Denominator at start of period,Y62,North West,NHS infrastructure support,Senior managers,1672,1611.33625
201709 to 201809,Denominator at start of period,Y62,North West,NHS infrastructure support,Managers,3048,2924.68442
201709 to 201809,Denominator at start of period,Y62,North West,NHS infrastructure support,Central functions,15500,14069.10959
201709 to 201809,Denominator at start of period,Y62,North West,NHS infrastructure support,"Hotel, property & estates",11002,8588.91061
201709 to 201809,Denominator at start of period,Y62,North West,Unknown classification,Unknown classification,572,528.55792
201709 to 201809,Denominator at start of period,Y63,North East and Yorkshire,All staff groups,All staff groups,206417,179538.51637
201709 to 201809,Denominator at start of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,All staff groups,105605,93916.40174
201709 to 201809,Denominator at start of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,HCHS doctors - All grades,17843,16691.38484
201709 to 201809,Denominator at start of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,HCHS doctors - Consultant,7655,7264.39024
201709 to 201809,Denominator at start of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,304,274.54546
201709 to 201809,Denominator at start of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,1096,946.04154
201709 to 201809,Denominator at start of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,HCHS doctors - Staff Grade,47,40.19722
201709 to 201809,Denominator at start of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,4449,4233.56524
201709 to 201809,Denominator at start of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,HCHS doctors - Core Training,1586,1563.24575
201709 to 201809,Denominator at start of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,1065,1053.9125
201709 to 201809,Denominator at start of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,1061,1053.20625
201709 to 201809,Denominator at start of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,403,115.41591
201709 to 201809,Denominator at start of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,HCHS doctors - Other HCHS Doctor Grades,216,146.86473
201709 to 201809,Denominator at start of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,Nurses & health visitors,54575,48273.19733
201709 to 201809,Denominator at start of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,Midwives,3986,3284.63628
201709 to 201809,Denominator at start of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,Ambulance staff,2821,2629.3961
201709 to 201809,Denominator at start of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",26425,23037.78719
201709 to 201809,Denominator at start of period,Y63,North East and Yorkshire,Support to clinical staff,All staff groups,65770,55911.66539
201709 to 201809,Denominator at start of period,Y63,North East and Yorkshire,Support to clinical staff,"Support to doctors, nurses & midwives",50805,42981.92328
201709 to 201809,Denominator at start of period,Y63,North East and Yorkshire,Support to clinical staff,Support to ambulance staff,3462,3088.11743
201709 to 201809,Denominator at start of period,Y63,North East and Yorkshire,Support to clinical staff,Support to ST&T staff,11582,9841.62468
201709 to 201809,Denominator at start of period,Y63,North East and Yorkshire,NHS infrastructure support,All staff groups,34563,28981.74846
201709 to 201809,Denominator at start of period,Y63,North East and Yorkshire,NHS infrastructure support,Senior managers,1693,1604.50062
201709 to 201809,Denominator at start of period,Y63,North East and Yorkshire,NHS infrastructure support,Managers,3165,3003.70342
201709 to 201809,Denominator at start of period,Y63,North East and Yorkshire,NHS infrastructure support,Central functions,14820,13178.69359
201709 to 201809,Denominator at start of period,Y63,North East and Yorkshire,NHS infrastructure support,"Hotel, property & estates",14916,11194.85083
201709 to 201809,Denominator at start of period,Y63,North East and Yorkshire,Unknown classification,Unknown classification,798,728.70078
201709 to 201809,Joiners,All NHSE regions,All NHSE regions,All staff groups,All staff groups,157013,139326.90942
201709 to 201809,Joiners,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,All staff groups,75517,68224.02706
201709 to 201809,Joiners,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - All grades,20754,19643.96134
201709 to 201809,Joiners,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Consultant,2128,1864.60743
201709 to 201809,Joiners,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,30,24.45636
201709 to 201809,Joiners,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,1033,911.31513
201709 to 201809,Joiners,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Staff Grade,18,16.7
201709 to 201809,Joiners,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,6936,6582.57603
201709 to 201809,Joiners,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Core Training,3372,3313.58575
201709 to 201809,Joiners,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,674,660.69075
201709 to 201809,Joiners,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,6071,6057.36375
201709 to 201809,Joiners,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,309,95.20805
201709 to 201809,Joiners,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Other HCHS Doctor Grades,202,117.45809
201709 to 201809,Joiners,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,Nurses & health visitors,31532,28232.73156
201709 to 201809,Joiners,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,Midwives,2866,2396.49163
201709 to 201809,Joiners,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,Ambulance staff,1667,1581.58889
201709 to 201809,Joiners,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",18710,16369.25364
201709 to 201809,Joiners,All NHSE regions,All NHSE regions,Support to clinical staff,All staff groups,54366,47778.10014
201709 to 201809,Joiners,All NHSE regions,All NHSE regions,Support to clinical staff,"Support to doctors, nurses & midwives",40299,35273.72381
201709 to 201809,Joiners,All NHSE regions,All NHSE regions,Support to clinical staff,Support to ambulance staff,3581,3317.72261
201709 to 201809,Joiners,All NHSE regions,All NHSE regions,Support to clinical staff,Support to ST&T staff,10503,9186.65372
201709 to 201809,Joiners,All NHSE regions,All NHSE regions,NHS infrastructure support,All staff groups,24504,20672.51456
201709 to 201809,Joiners,All NHSE regions,All NHSE regions,NHS infrastructure support,Senior managers,793,711.62177
201709 to 201809,Joiners,All NHSE regions,All NHSE regions,NHS infrastructure support,Managers,2118,1983.26464
201709 to 201809,Joiners,All NHSE regions,All NHSE regions,NHS infrastructure support,Central functions,12324,11123.37455
201709 to 201809,Joiners,All NHSE regions,All NHSE regions,NHS infrastructure support,"Hotel, property & estates",9278,6854.2536
201709 to 201809,Joiners,All NHSE regions,All NHSE regions,Unknown classification,Unknown classification,2702,2652.26766
201709 to 201809,Joiners,Y56,London,All staff groups,All staff groups,29398,27383.18649
201709 to 201809,Joiners,Y56,London,Professionally qualified clinical staff,All staff groups,16183,15046.75262
201709 to 201809,Joiners,Y56,London,Professionally qualified clinical staff,HCHS doctors - All grades,4562,4337.07063
201709 to 201809,Joiners,Y56,London,Professionally qualified clinical staff,HCHS doctors - Consultant,515,432.936
201709 to 201809,Joiners,Y56,London,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,2,1.2
201709 to 201809,Joiners,Y56,London,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,119,103.845
201709 to 201809,Joiners,Y56,London,Professionally qualified clinical staff,HCHS doctors - Staff Grade,7,7.0
201709 to 201809,Joiners,Y56,London,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,1837,1756.1525
201709 to 201809,Joiners,Y56,London,Professionally qualified clinical staff,HCHS doctors - Core Training,940,927.87875
201709 to 201809,Joiners,Y56,London,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,102,98.54575
201709 to 201809,Joiners,Y56,London,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,990,985.9
201709 to 201809,Joiners,Y56,London,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,31,10.7105
201709 to 201809,Joiners,Y56,London,Professionally qualified clinical staff,HCHS doctors - Other HCHS Doctor Grades,24,12.90213
201709 to 201809,Joiners,Y56,London,Professionally qualified clinical staff,Nurses & health visitors,6577,6180.57823
201709 to 201809,Joiners,Y56,London,Professionally qualified clinical staff,Midwives,659,573.76835
201709 to 201809,Joiners,Y56,London,Professionally qualified clinical staff,Ambulance staff,383,372.94584
201709 to 201809,Joiners,Y56,London,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",4004,3582.38957
201709 to 201809,Joiners,Y56,London,Support to clinical staff,All staff groups,9125,8445.05564
201709 to 201809,Joiners,Y56,London,Support to clinical staff,"Support to doctors, nurses & midwives",6507,6039.84424
201709 to 201809,Joiners,Y56,London,Support to clinical staff,Support to ambulance staff,782,728.81697
201709 to 201809,Joiners,Y56,London,Support to clinical staff,Support to ST&T staff,1839,1676.39443
201709 to 201809,Joiners,Y56,London,NHS infrastructure support,All staff groups,3723,3511.35157
201709 to 201809,Joiners,Y56,London,NHS infrastructure support,Senior managers,156,145.47538
201709 to 201809,Joiners,Y56,London,NHS infrastructure support,Managers,580,549.59174
201709 to 201809,Joiners,Y56,London,NHS infrastructure support,Central functions,2385,2258.57805
201709 to 201809,Joiners,Y56,London,NHS infrastructure support,"Hotel, property & estates",607,557.7064
201709 to 201809,Joiners,Y56,London,Unknown classification,Unknown classification,383,380.02666
201709 to 201809,Joiners,Y58,South West,All staff groups,All staff groups,15525,13388.23128
201709 to 201809,Joiners,Y58,South West,Professionally qualified clinical staff,All staff groups,7156,6217.50324
